Date,Distance walking,Step count
0,0,0
2021-01-01,0.734,1155.000
2021-01-02,0.191,292.000
2021-01-03,0.164,228.000
2021-01-04,0.354,537.000
2021-01-05,4.584,7686.000
2021-01-06,6.352,9393.000
2021-01-07,0.261,389.000
2021-01-08,0.870,1354.000
2021-01-09,0.306,444.000
2021-01-10,1.299,1819.000
2021-01-11,1.719,2775.000
2021-01-12,2.018,3348.000
2021-01-13,0.156,234.000
2021-01-14,1.659,2762.000
2021-01-15,0.699,1027.000
2021-01-16,0.084,130.000
2021-01-17,0.208,310.000
2021-01-18,0.326,457.000
2021-01-19,7.547,12477.000
2021-01-20,7.756,13215.000
2021-01-21,0.331,490.000
2021-01-22,0.047,71.000
2021-01-23,0.139,213.000
2021-01-24,1.246,2048.000
2021-01-25,2.136,3127.000
2021-01-26,5.440,8923.000
2021-01-27,0.100,149.000
2021-01-28,6.327,9970.000
2021-01-29,1.685,2567.000
2021-01-30,7.810,12731.000
2021-01-31,3.005,4530.000
2021-02-01,6.728,10894.000
2021-02-02,9.659,15722.000
2021-02-03,0.142,227.000
2021-02-04,0.286,412.000
2021-02-05,0.227,345.000
2021-02-06,0.266,402.000
2021-02-07,2.526,3615.000
2021-02-08,6.245,9892.000
2021-02-09,1.772,2733.000
2021-02-10,2.008,3151.000
2021-02-11,0.183,277.000
2021-02-12,0.892,1278.000
2021-02-13,5.914,9036.000
2021-02-14,4.055,6012.000
2021-02-15,0.393,601.000
2021-02-16,0.503,765.000
2021-02-17,4.951,7981.000
2021-02-18,1.085,1637.000
2021-02-19,1.187,1802.000
2021-02-20,0.526,886.000
2021-02-21,3.281,4478.000
2021-02-22,2.010,2852.000
2021-02-23,2.415,3566.000
2021-02-24,1.070,1710.000
2021-02-25,2.937,4352.000
2021-02-26,0.495,726.000
2021-02-27,6.523,10506.000
2021-02-28,0.195,305.000
2021-03-01,2.702,4095.000
2021-03-02,2.204,2903.000
2021-03-03,2.176,2351.000
2021-03-04,7.406,10869.000
2021-03-05,0.168,256.000
2021-03-06,0.256,388.000
2021-03-07,5.260,7988.000
2021-03-08,1.294,1693.000
2021-03-09,2.156,2629.000
2021-03-10,0.194,274.000
2021-03-11,1.453,1986.000
2021-03-12,0.327,471.000
2021-03-13,6.370,10154.000
2021-03-14,0.080,118.000
2021-03-15,1.250,1492.000
2021-03-16,3.269,5211.000
2021-03-17,1.676,1922.000
2021-03-18,4.768,6967.000
2021-03-19,0.240,358.000
2021-03-20,0.211,309.000
2021-03-21,0.279,423.000
2021-03-22,0.247,364.000
2021-03-23,0.373,578.000
2021-03-24,1.324,1684.000
2021-03-25,3.744,5301.000
2021-03-26,0.289,425.000
2021-03-27,7.937,11703.000
2021-03-28,9.672,14119.000
2021-03-29,0.260,396.000
2021-03-30,6.895,10053.000
2021-03-31,1.635,2343.000
2021-04-01,6.114,8932.000
2021-04-02,0.377,552.000
2021-04-03,0.273,413.000
2021-04-04,4.351,6232.000
2021-04-05,0.152,238.000
